F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,Label
0.0064469,0.52907,1.4125,0.84201,0.66234,0.59988,0.31291,0.57991,0.25805,1.0956,1.2973,0.97168,0.7551,0.92122,0.4394,0.99092,1.9505,2.8464,1.9838,2.159,1.1524,1.6455,1.6604,1.0831,2.3225,2.2254,3.4812,2.6741,2.0819,2.5151,2.4958,3.3817,3.6157,3.1464,2.5931,4.6288,3.4341,3.3848,10.89,20.07,29.135,27.643,29.107,34.492,58.72,186.65,202.54,70.269,41.004,35.118,22.432,21.26,17.922,13.395,8.1982,8.8927,4.9127,4.6141,4.6484,3.693,1.5279,1.5562,1.7687,2.3539,1.2728,0.91246,1.138,0.45973,1.6429,1.0822,0.76773,1.1355,1.6051,1.6747,2.0515,0.69216,1.0318,1.1982,0.98495,0.90322,1.48,2.4331,2.2308,0.66724,0.34822,0.41102,0.0090071,0.11281,0.60987,0.057998,0.15789,0.58017,0.067881,0.56222,0.24563,0.62836,0.66729,1.2301,0.48411,0.0061884,0.00034344,0.0097357,Corona
0.0062505,0.64482,1.414,0.90791,0.69781,0.49317,0.5562,0.45013,0.49321,1.5087,1.2518,1.3225,0.6483,0.88629,1.0253,1.4773,1.9654,3.0031,1.9939,2.165,1.6698,1.2399,1.9603,0.97994,1.3877,2.2716,2.8265,3.2372,2.8876,2.9583,2.124,4.4005,3.5646,4.1149,2.8162,2.1508,3.9956,6.1837,5.4867,11.261,21.121,27.671,35.581,30.693,35.602,100.67,240.88,190.47,78.886,40.275,27.011,19.859,26.909,17.127,9.9997,12.7,5.9054,4.7638,4.3521,5.4227,7.1145,3.0117,1.6935,3.1486,1.222,1.2657,1.3251,1.14,0.94469,1.3362,2.0293,0.96758,1.2826,2.4323,2.2006,1.3675,0.5471,1.1398,1.465,0.7834,1.1754,1.7968,1.7458,2.5221,1.3489,0.42472,0.038572,0.43958,0.39958,0.17912,0.40014,0.34972,0.38181,0.49345,0.3962,0.67468,0.58368,1.1364,0.53841,0.0052363,0.00033215,0.0087256,Corona
0.0060313,0.26428,0.9785,0.73253,0.55711,0.45637,1.1067,1.8444,1.3961,1.0915,1.1488,2.151,1.9362,1.0998,1.1406,1.2658,1.1564,0.91523,0.50718,1.0573,1.1979,0.72553,1.731,1.4213,1.27,1.9402,1.318,0.39227,1.4655,3.006,2.3207,4.2891,4.9751,5.1087,4.8915,5.3706,5.6395,9.9658,10.468,10.101,14.309,16.276,17.739,19.665,23.069,31.698,45.771,81.504,159.13,213.77,149.84,75.533,41.24,27.834,22.287,19.029,18.311,15.743,9.6612,8.8349,7.3494,8.4151,8.419,6.6272,4.2002,3.0741,4.9936,5.4078,3.5008,2.1604,2.4413,2.1348,1.0128,1.4904,2.1317,1.5335,0.75941,0.91308,1.2974,0.96256,0.60813,1.3788,1.301,1.2914,1.6974,2.0286,0.60862,0.74495,0.75978,0.53195,0.73156,0.99307,0.59356,1.2504,0.93333,1.5554,2.1625,2.1171,0.38989,0.0068963,0.0001975,0.0083184,Corona
0.006166,0.051808,0.24924,0.69943,1.1891,1.3193,1.0952,0.82436,0.65288,0.55157,0.49055,0.46358,0.42378,0.3985,0.48749,0.71645,1.1092,1.5328,1.7231,1.7829,2.0198,2.3984,2.5914,2.4377,2.1895,2.1471,2.3855,2.994,3.9495,4.8913,5.2564,5.0283,5.0181,5.7908,7.1178,8.278,8.9254,9.7813,11.322,13.132,16.142,21.879,29.074,35.795,42.96,52.309,62.853,72.622,82.142,92.472,102.1,106.3,101.63,90.847,78.611,66.34,53.872,40.818,28.957,21.066,16.76,14.178,12.364,10.781,9.2333,7.6729,6.2141,5.2871,4.8224,4.4688,4.31,4.2898,4.2569,4.3949,4.5623,4.0535,2.8098,1.7,1.233,1.193,1.2154,1.2415,1.345,1.4315,1.5552,1.7758,1.9269,1.8801,1.7046,1.6699,1.8331,1.903,1.6943,1.4492,1.3342,1.0962,0.63054,0.22468,0.04708,0.0056158,0.00025436,0.0069119,Corona
0.008334,0.36965,1.4654,1.1948,0.99166,1.5826,1.5569,1.3044,1.8962,2.0664,1.7527,1.3913,2.8681,2.6243,2.0695,1.9772,1.5733,1.4116,1.6035,1.5677,1.0159,1.3181,1.575,1.6902,2.3996,2.7912,3.4795,3.1643,3.6529,5.3742,6.0513,5.8293,4.9653,6.3179,6.583,5.9934,7.0374,8.5205,11.714,14.273,18.826,23.883,26.126,34.661,58.75,124.31,215.23,198.85,118.2,81.3,50.075,28.484,19.96,17.049,12.48,10.268,7.3714,6.2068,5.3169,4.3747,4.0374,4.102,4.9146,6.6399,5.0962,4.0763,2.7365,2.3784,2.2844,2.8158,1.6709,1.2616,1.3542,1.465,1.3132,1.7413,1.5023,1.3883,2.1251,2.1972,2.0083,3.4181,3.0747,2.1384,1.2879,1.6564,0.67712,0.081218,0.55967,0.38846,0.24308,0.65406,0.3061,0.68291,0.59279,0.85616,1.2919,1.6204,0.38324,0.007737,0.00030921,0.0080338,Corona
0.0086145,0.77244,1.7644,0.94421,0.72647,0.5653,1.2471,1.4603,1.5415,2.7628,3.5635,1.7078,2.1039,1.6771,1.4157,1.256,1.7559,0.93855,1.0367,1.7802,0.72921,1.1985,0.91588,1.2798,2.8579,1.9342,2.2559,3.7076,5.483,4.0751,3.8546,3.5301,3.1323,2.5428,4.1748,7.6191,8.132,8.3917,13.037,13.58,16.558,23.642,34.085,37.396,56.358,189.58,248.92,110.14,62.74,35.845,28.47,27.329,15.725,12.664,7.4938,5.5227,3.8872,4.5687,4.8222,4.5871,4.3684,5.7611,4.1532,2.7795,2.6837,2.8356,2.9534,0.68363,0.63425,1.2262,1.2747,1.0692,1.1906,0.3667,2.1391,1.1311,0.68336,1.9616,1.4283,1.6466,2.113,2.8232,2.958,1.9584,1.5452,0.29256,0.33867,0.34266,0.16922,0.40112,0.39661,0.23214,0.53035,0.26462,0.65769,0.471,0.78051,1.3805,0.55903,0.0060715,0.00026877,0.0090464,Corona
0.0066805,0.68566,2.5601,1.8785,1.2395,1.231,0.69304,2.3353,1.4858,1.2739,1.733,0.60673,1.3445,0.81635,1.159,2.4497,1.4882,1.8212,1.7955,1.0433,2.9279,2.0723,1.4608,1.9786,1.8332,1.5185,1.2306,2.3906,4.467,2.1342,2.1512,6.8836,5.4769,5.614,5.1688,6.7094,11.886,17.418,24.173,27.524,24.02,24.072,44.112,75.656,220.62,230.38,89.385,41.72,28.759,23.659,16.821,17.309,15.485,10.439,9.1745,9.6703,7.4045,4.5338,5.6139,3.893,2.5303,2.6286,2.1932,2.9891,1.5737,1.0998,1.0743,1.2418,1.4241,1.281,1.7419,1.469,2.1715,2.2226,1.3504,0.91184,1.0514,0.91126,0.89372,0.86179,1.7546,1.2586,1.9191,1.5552,1.0298,1.2665,0.73171,0.64863,0.038764,0.2059,0.65085,0.049935,0.55936,0.3126,0.50647,0.43962,0.81352,1.1942,0.59382,0.0082285,0.0003454,0.0088743,Corona
0.0070752,0.54336,0.8541,0.37536,0.55837,0.3188,0.073821,0.645,0.18369,0.42726,1.5109,1.2435,0.5005,0.44165,0.5871,1.7693,2.3274,1.2238,1.0673,1.3085,1.2277,0.664,0.67415,0.92841,1.7216,2.2554,2.4563,3.6437,3.0597,2.0669,2.3374,2.1172,3.133,2.2335,3.7052,4.5438,4.8584,6.2056,3.5217,5.1271,5.2555,6.017,12.458,17.89,15.537,15.724,20.001,28.187,37.999,57.567,150.52,268.08,145.78,47.173,33.764,32.438,19.947,14.229,10.951,8.9585,9.2673,9.5307,7.9675,7.7341,5.2488,4.4505,4.329,4.6883,6.9276,4.7878,3.6696,1.0652,1.0317,2.0302,1.7242,1.8031,1.8869,3.1978,2.3861,0.4156,1.3361,1.6116,1.4698,1.8894,0.42597,0.97762,0.66095,0.048128,0.70414,1.0426,0.16165,0.74049,1.0658,0.35582,1.4845,0.68049,1.7723,2.0575,0.67506,0.0066213,0.00026377,0.0086178,Corona
0.0076031,0.66077,1.6772,0.94681,0.72119,0.4161,0.55658,0.37516,0.45994,0.33567,2.0385,2.4495,3.0213,2.6019,1.8838,2.1599,1.229,1.8166,1.2824,1.1753,2.0073,2.3977,1.7512,2.2193,1.3379,1.3625,1.7372,1.3226,1.9098,4.0291,3.3533,4.273,3.3956,5.8264,8.0799,11.212,13.613,16.403,20.058,23.218,26.474,30.152,36.374,89.655,250.06,174.52,50.949,34.898,36.155,22.232,19.658,13.372,13.15,11.831,9.1798,9.3685,8.1243,4.6847,2.6428,1.701,1.9563,2.084,2.3065,1.323,1.2496,1.2865,1.0337,0.85494,1.2461,1.6238,1.3151,0.97301,1.6107,1.9325,2.5773,2.8408,1.0707,2.0709,0.92104,0.68062,0.80669,1.7669,1.0805,0.024504,0.086667,0.60328,0.14384,0.066635,0.57606,0.19129,0.19387,0.57488,0.14458,0.5888,0.29492,0.62739,0.6285,1.0809,0.43369,0.0050698,0.00033248,0.0091248,Corona
0.0057402,0.74131,2.6396,1.8444,1.5619,1.0289,0.84662,1.0783,2.1287,1.3688,1.2235,1.2001,2.0341,2.0303,2.1634,1.0239,1.6516,1.0928,1.4317,1.1565,1.0091,1.028,1.2452,3.422,1.8325,0.83498,4.2897,3.7721,2.9419,3.8369,4.168,2.7676,4.9511,5.4996,5.851,5.0464,8.5834,7.5779,8.0832,12.764,14.453,20.83,31.113,33.691,43.982,161.11,281.36,118.81,45.953,32.136,29.055,25.538,18.07,11.679,13.687,12.173,2.1033,3.0035,3.1137,3.552,2.9816,4.1187,4.4003,4.0547,2.9493,4.245,1.7467,0.89599,1.9518,0.52282,0.56128,1.3292,1.3925,0.55399,1.5611,0.64232,1.9008,0.96257,1.7023,1.7414,2.7745,1.4494,1.562,1.7393,0.74729,0.77772,0.47756,0.83747,0.76036,1.0679,1.2579,0.40011,0.44684,0.44788,0.52587,0.50607,0.7739,1.2603,0.81643,0.00684,0.00037932,0.0095228,Corona
